subjID,itrial,CasesName,filename,Lesion,MouseScreenX,MouseScreenY,ImageMouseX_X_521_,ImageMouseY,NotOnTissue,Accuracy,OldTrialType,NewTrialType
0,1,n385,01_n385_N.jpg,0,1224,748,703,748,0,0,FA,FA
0,2,c227,02_c227_C.jpg,1,845,604,324,604,0,1,HIT,HIT
0,3,c352,03_c352_C.jpg,1,1252,639,731,639,0,1,HIT,HIT
0,4,c284,04_c284_C.jpg,1,1318,586,797,586,0,1,HIT,MISS&FA
0,5,n374,05_n374_N.jpg,0,995,725,474,725,0,0,FA,FA
0,6,n88,06_n88_N.jpg,0,NaN,NaN,NaN,NaN,0,1,TNEG,TNEG
0,7,c41,07_c41_C.jpg,1,NaN,NaN,NaN,NaN,0,0,MISS,MISS
0,8,c242,08_c242_C.jpg,1,1244,457,723,457,0,1,HIT,MISS&FA
0,9,c23,09_c23_C.jpg,1,923,687,402,687,0,1,HIT,MISS&FA
0,10,c228,10_c228_C.jpg,1,1109,727,588,727,0,1,HIT,HIT
0,11,c372,11_c372_C.jpg,1,NaN,NaN,NaN,NaN,0,0,MISS,MISS
0,12,c278,12_c278_C.jpg,1,1210,889,689,889,0,1,HIT,HIT
0,13,n297,13_n297_N.jpg,0,1130,541,609,541,0,0,FA,FA
0,14,n114,14_n114_N.jpg,0,NaN,NaN,NaN,NaN,0,1,TNEG,TNEG
0,15,c102,15_c102_C.jpg,1,1228,761,707,761,0,1,HIT,MISS&FA
0,16,n352,16_n352_N.jpg,0,NaN,NaN,NaN,NaN,0,1,TNEG,TNEG
0,17,c255,17_c255_C.jpg,1,1050,678,529,678,0,1,HIT,MISS&FA
0,18,n264,18_n264_N.jpg,0,NaN,NaN,NaN,NaN,0,1,TNEG,TNEG
0,19,c46,19_c46_C.jpg,1,1013,522,492,522,0,1,HIT,HIT
0,20,c69,20_c69_C.jpg,1,1190,499,669,499,0,1,HIT,HIT
0,21,c239,21_c239_C.jpg,1,NaN,NaN,NaN,NaN,0,0,MISS,MISS
0,22,c141,22_c141_C.jpg,1,1278,907,757,907,0,1,HIT,HIT
0,23,n279,23_n279_N.jpg,0,NaN,NaN,NaN,NaN,0,1,TNEG,TNEG
0,24,c9,24_c9_C.jpg,1,NaN,NaN,NaN,NaN,0,0,MISS,MISS
0,25,n284,25_n284_N.jpg,0,NaN,NaN,NaN,NaN,0,1,TNEG,TNEG
0,26,c384,26_c384_C.jpg,1,1027,535,506,535,0,1,HIT,MISS&FA
0,27,c378,27_c378_C.jpg,1,1289,429,768,429,0,1,HIT,HIT
0,28,c154,28_c154_C.jpg,1,1015,720,494,720,0,1,HIT,HIT
